geo,sector,year,elec_carb_int_inp,elec_gen_GWh_inp,emis_int_inp,emissions_MtCo2_inp,ind_val_add_2019_bln_inp,pcap_emis_int_inp,pop_inp,resi_emis_int_inp
ACT,Agriculture & Forestry,1990,,,,0.037520000000000005,,,,
ACT,Agriculture & Forestry,2005,,,,,,,,
ACT,Agriculture & Forestry,2006,,,,,,,,
ACT,Agriculture & Forestry,2007,,,,,,,,
ACT,Agriculture & Forestry,2008,,,,,,,,
ACT,Agriculture & Forestry,2009,,,1.2615973218555714,0.02638,0.02091,,,
ACT,Agriculture & Forestry,2010,,,1.0858585858585856,0.0215,0.0198,,,
ACT,Agriculture & Forestry,2011,,,1.4445043103448274,0.026809999999999997,0.01856,,,
ACT,Agriculture & Forestry,2012,,,1.506432748538012,0.02576,0.017099999999999997,,,
ACT,Agriculture & Forestry,2013,,,1.4861958732926472,0.02557,0.017205,,,
ACT,Agriculture & Forestry,2014,,,1.1773700305810397,0.01925,0.01635,,,
ACT,Agriculture & Forestry,2015,,,1.2260514018691588,0.020989999999999998,0.01712,,,
ACT,Agriculture & Forestry,2016,,,1.223996129656507,0.0253,0.02067,,,
ACT,Agriculture & Forestry,2017,,,1.1552197802197803,0.02523,0.02184,,,
ACT,Agriculture & Forestry,2018,,,1.011204481792717,0.02166,0.02142,,,
ACT,Agriculture & Forestry,2019,,,,,,,,
ACT,Agriculture & Forestry,2020,,,,,,,,
ACT,Agriculture & Forestry,2021,,,,,,,,
ACT,Agriculture & Forestry,2022,,,,,,,,
ACT,Agriculture & Forestry,2023,,,,,,,,
ACT,Agriculture & Forestry,2024,,,,,,,,
ACT,Agriculture & Forestry,2025,,,,,,,,
ACT,Agriculture & Forestry,2026,,,,,,,,
ACT,Agriculture & Forestry,2027,,,,,,,,
ACT,Agriculture & Forestry,2028,,,,,,,,
ACT,Agriculture & Forestry,2029,,,,,,,,
ACT,Agriculture & Forestry,2030,,,,,,,,
ACT,Agriculture & Forestry,2031,,,,,,,,
ACT,Agriculture & Forestry,2032,,,,,,,,
ACT,Agriculture & Forestry,2033,,,,,,,,
ACT,Agriculture & Forestry,2034,,,,,,,,
ACT,Agriculture & Forestry,2035,,,,,,,,
ACT,Agriculture & Forestry,2036,,,,,,,,
ACT,Agriculture & Forestry,2037,,,,,,,,
ACT,Agriculture & Forestry,2038,,,,,,,,
ACT,Agriculture & Forestry,2039,,,,,,,,
ACT,Agriculture & Forestry,2040,,,,,,,,
ACT,Agriculture & Forestry,2041,,,,,,,,
ACT,Agriculture & Forestry,2042,,,,,,,,
ACT,Agriculture & Forestry,2043,,,,,,,,
ACT,Agriculture & Forestry,2044,,,,,,,,
ACT,Agriculture & Forestry,2045,,,,,,,,
ACT,Agriculture & Forestry,2046,,,,,,,,
ACT,Agriculture & Forestry,2047,,,,,,,,
ACT,Agriculture & Forestry,2048,,,,,,,,
ACT,Agriculture & Forestry,2049,,,,,,,,
ACT,Agriculture & Forestry,2050,,,,,,,,
ACT,Commercial Transport,1990,,,,0.07461,,,,
ACT,Commercial Transport,2005,,,,,,,,
ACT,Commercial Transport,2006,,,,,,,,
ACT,Commercial Transport,2007,,,,,,,,
ACT,Commercial Transport,2008,,,,,,,,
ACT,Commercial Transport,2009,,,0.19233449477351916,0.09936,0.5166000000000001,,,
ACT,Commercial Transport,2010,,,0.2224192277383767,0.1129,0.5075999999999999,,,
ACT,Commercial Transport,2011,,,0.24160767298469965,0.12696,0.5254800000000001,,,
ACT,Commercial Transport,2012,,,0.22191384501522265,0.13193000000000002,0.59451,,,
ACT,Commercial Transport,2013,,,0.20482246952835187,0.13141,0.64158,,,
ACT,Commercial Transport,2014,,,0.19609159394346234,0.13144999999999998,0.67035,,,
ACT,Commercial Transport,2015,,,0.22350430495253518,0.15186000000000002,0.67945,,,
ACT,Commercial Transport,2016,,,0.24000857632933106,0.16791,0.6996,,,
ACT,Commercial Transport,2017,,,0.2543991955756661,0.18216,0.7160400000000001,,,
ACT,Commercial Transport,2018,,,0.24627288932101768,0.18237,0.74052,,,
ACT,Commercial Transport,2019,,,,,,,,
ACT,Commercial Transport,2020,,,,,,,,
ACT,Commercial Transport,2021,,,,,,,,
ACT,Commercial Transport,2022,,,,,,,,
ACT,Commercial Transport,2023,,,,,,,,
ACT,Commercial Transport,2024,,,,,,,,
ACT,Commercial Transport,2025,,,,,,,,
ACT,Commercial Transport,2026,,,,,,,,
ACT,Commercial Transport,2027,,,,,,,,
ACT,Commercial Transport,2028,,,,,,,,
ACT,Commercial Transport,2029,,,,,,,,
ACT,Commercial Transport,2030,,,,,,,,
ACT,Commercial Transport,2031,,,,,,,,
ACT,Commercial Transport,2032,,,,,,,,
ACT,Commercial Transport,2033,,,,,,,,
ACT,Commercial Transport,2034,,,,,,,,
ACT,Commercial Transport,2035,,,,,,,,
ACT,Commercial Transport,2036,,,,,,,,
ACT,Commercial Transport,2037,,,,,,,,
ACT,Commercial Transport,2038,,,,,,,,
ACT,Commercial Transport,2039,,,,,,,,
ACT,Commercial Transport,2040,,,,,,,,
ACT,Commercial Transport,2041,,,,,,,,
ACT,Commercial Transport,2042,,,,,,,,
ACT,Commercial Transport,2043,,,,,,,,
ACT,Commercial Transport,2044,,,,,,,,
ACT,Commercial Transport,2045,,,,,,,,
ACT,Commercial Transport,2046,,,,,,,,
ACT,Commercial Transport,2047,,,,,,,,
ACT,Commercial Transport,2048,,,,,,,,
ACT,Commercial Transport,2049,,,,,,,,
ACT,Commercial Transport,2050,,,,,,,,
ACT,Construction,1990,,,,0.06043,,,,
ACT,Construction,2005,,,,,,,,
ACT,Construction,2006,,,,,,,,
ACT,Construction,2007,,,,,,,,
ACT,Construction,2008,,,,,,,,
ACT,Construction,2009,,,0.022651589718947714,0.043840000000000004,1.935405,,,
ACT,Construction,2010,,,0.02865248226950355,0.06464,2.256,,,
ACT,Construction,2011,,,0.02693610058710812,0.06157,2.28578,,,
ACT,Construction,2012,,,0.0269548644751625,0.05926,2.1984899999999996,,,
ACT,Construction,2013,,,0.028343990986113347,0.05811,2.05017,,,
ACT,Construction,2014,,,0.027253921577721916,0.05876,2.15602,,,
ACT,Construction,2015,,,0.024085117831314496,0.0564,2.341695,,,
ACT,Construction,2016,,,0.02628744664725358,0.0659,2.5069,,,
ACT,Construction,2017,,,0.02540561363224364,0.06727,2.64784,,,
ACT,Construction,2018,,,0.029056050409797387,0.08005,2.75502,,,
ACT,Construction,2019,,,,,,,,
ACT,Construction,2020,,,,,,,,
ACT,Construction,2021,,,,,,,,
ACT,Construction,2022,,,,,,,,
ACT,Construction,2023,,,,,,,,
ACT,Construction,2024,,,,,,,,
ACT,Construction,2025,,,,,,,,
ACT,Construction,2026,,,,,,,,
ACT,Construction,2027,,,,,,,,
ACT,Construction,2028,,,,,,,,
ACT,Construction,2029,,,,,,,,
ACT,Construction,2030,,,,,,,,
ACT,Construction,2031,,,,,,,,
ACT,Construction,2032,,,,,,,,
ACT,Construction,2033,,,,,,,,
ACT,Construction,2034,,,,,,,,
ACT,Construction,2035,,,,,,,,
ACT,Construction,2036,,,,,,,,
ACT,Construction,2037,,,,,,,,
ACT,Construction,2038,,,,,,,,
ACT,Construction,2039,,,,,,,,
ACT,Construction,2040,,,,,,,,
ACT,Construction,2041,,,,,,,,
ACT,Construction,2042,,,,,,,,
ACT,Construction,2043,,,,,,,,
ACT,Construction,2044,,,,,,,,
ACT,Construction,2045,,,,,,,,
ACT,Construction,2046,,,,,,,,
ACT,Construction,2047,,,,,,,,
ACT,Construction,2048,,,,,,,,
ACT,Construction,2049,,,,,,,,
ACT,Construction,2050,,,,,,,,
ACT,"Electricity generation, Gas, Water & Waste Services",1990,,,,0.28932,,,,
ACT,"Electricity generation, Gas, Water & Waste Services",2005,,,,,,,,
ACT,"Electricity generation, Gas, Water & Waste Services",2006,,,,,,,,
ACT,"Electricity generation, Gas, Water & Waste Services",2007,,,,,,,,
ACT,"Electricity generation, Gas, Water & Waste Services",2008,,,,,,,,
